comment,sentiment,videoId
"You should make an updated video about PROOF OF STAKE, and other Cryptocurrencies",Neutral,bBC-nXj3Ng4
Would of been good if you elaborated why bitcoin blocks are the size they are. It becomes difficult for people to maintain and hold a copy of the ledger the bigger the blocks get. This makes it easier for bad actors to potentially fraud someone on the network.,Neutral,bBC-nXj3Ng4
"I absolutely loved this video. I love how deep into the nitty gritty you go, no other explanation has gone that far that I've found and the fact that this video is 5 years old is astounding.",Positive,bBC-nXj3Ng4
can you make a video explaining proof of stake?,Neutral,bBC-nXj3Ng4
"The biggest issue with the blockchain is privacy. Since it publicly tracks all transactions there really is no way to pay anyone without it being public record. Every transfer of funds, be it a tip, gift or payment then it is publicly logged.",Neutral,bBC-nXj3Ng4
First time I've actually understood bitcoin. Thank you.,Neutral,bBC-nXj3Ng4
Thanks!,Neutral,bBC-nXj3Ng4
Amazing video!,Positive,bBC-nXj3Ng4
this is probably the best explanation on blockchain and bitcoin thank you .,Positive,bBC-nXj3Ng4
Thanks buddy,Neutral,bBC-nXj3Ng4
"Right now it doesn’t, as I understand it.",Positive,bBC-nXj3Ng4
It's ggod to have a reasonable explanation,Neutral,bBC-nXj3Ng4
23:00,Neutral,bBC-nXj3Ng4
4:39,Neutral,bBC-nXj3Ng4
"In this report, as with every  other documentaries about CrytoCurrency and BlockChain,  in my mind, I can hear Charles PONZI talking to another potential sucker ... this ""Get-Rich-At-The-Speed Of-Light-Because One-Day-Justice-Will-Do-Something-To-Kill-This- Scheme""  is not even a Pyramid Scheme, it is a ""Büchner Funnel Scheme""©, very wide on one side, at the mid-point it gets very narrow. Guys, use money, be honest, stop affecting the economy for the majority with these unethical, felonious plans ... make money by working hard!
Please!",Neutral,bBC-nXj3Ng4
How Bitcoin actually works: Whales and promoters pump and dump worthless tokens to the minnows.,Negative,bBC-nXj3Ng4
Come and see my work! You will gain a lot~,Neutral,bBC-nXj3Ng4
20:10 why does Alice should mine the fraud block on herself? Can't she just broadcast it to the users so that many people can help her to mine the block?,Positive,bBC-nXj3Ng4
"I still don't understand @ 20:10
If Alice is trying to attach a fraud block then why doesn't she broadcast the transaction so the miners can create the fraud block instead of working on it herself?
Why couldn't Bob verify the validity of the fraud block that involves him at first glance? 
Does the amount of bitcoin in the blockchain starts at 50 BTC?",Neutral,bBC-nXj3Ng4
"Is it always the number of 0's used in Bitcoins POW consensus? Surely that means that you'd just need to save the solutions when you find X number of 0's at the start of each computation and then pulling from your stored solutions? Instead is it the character length at the start of the output hash that changes, but each of the characters can be 1's or 0's?",Positive,bBC-nXj3Ng4
"I had a comment with a few problems that Bitcoin has and it keeps getting censored.  It pains me when a society is only fed one side of a story and ignores any problems.  Where is the free flow of information, where can you hear both sides of the story?",Neutral,bBC-nXj3Ng4
What happens if no one “mines”,Neutral,bBC-nXj3Ng4
THANK YOU SO MUCH FOR THIS VIDEO,Neutral,bBC-nXj3Ng4
thank for this video. nice 100%,Positive,bBC-nXj3Ng4
Why do we need proof of work even though we have digital signature? Why do all of us need the ledgers?? Can't we just write the transactions on the public ledger with the digital signatures? Some answer it pleaseeee😂😂😂😂😂😂😂😂😂😂,Neutral,bBC-nXj3Ng4
"Your truly, truly understand bitcoin and the systems in place now to explain this so well and to draw distinctions. 

Love your work!",Positive,bBC-nXj3Ng4
Thank you grant 📈,Neutral,bBC-nXj3Ng4
Great video .explain every detail in form of everything. Realy like this video,Positive,bBC-nXj3Ng4
Thank you!,Neutral,bBC-nXj3Ng4
ㅅㅂ 자막이 나무위키 스러워서 보기가 싫다,Neutral,bBC-nXj3Ng4
"This video has much more than 26 of knowledge, I watched it with slow playing to understand how deep is blockchain.
Thanks",Neutral,bBC-nXj3Ng4
<Please I need someone to help me trade or invest in the forex or crypto market because I'm tired of trading in losses myself. I've blown my account twice and it's frustrating,Negative,bBC-nXj3Ng4
Who's Charlie? 🙃,Neutral,bBC-nXj3Ng4
please do this for proof of stake!,Neutral,bBC-nXj3Ng4
OJACOIN platform's trading model efficiently matches the market depth of major exchanges around the world while providing high liquidity.,Neutral,bBC-nXj3Ng4
"bonjour
Comment puis-je commencer à acheter des bitcoins et à les transférer dans mon portefeuille ? Merci
Richard",Neutral,bBC-nXj3Ng4
Ojacoin and its blockchain is one of the best which i have seen so far. i believe its the feature.,Positive,bBC-nXj3Ng4
From the naming convention i will assume my name is Danny,Neutral,bBC-nXj3Ng4
1:27 accurate graph,Positive,bBC-nXj3Ng4
"Great info, learned a lot, Thank you",Positive,bBC-nXj3Ng4
"6:07 me, an astronomy fan: ouch, that hurt…",Neutral,bBC-nXj3Ng4
What are the kind of transactions that we are tracking inside the block ? Can we track the real world trasactions that we do in our day to day life for example the payment that we made for purchasing milk can from costco?,Positive,bBC-nXj3Ng4
This was wonderful. Thank you.,Positive,bBC-nXj3Ng4
🔥🔥,Neutral,bBC-nXj3Ng4
"*Successful people don't become that way overnight. What most people see at a glance wealth, a great career, purpose is the result of hard work. 🤑🤑*",Positive,bBC-nXj3Ng4
"Satoshi Nakamoto already solved the problem with Bitcoin.
All other copycat of bitcoin called altcoins are just scams that are created to enrich the founders. Nakamoto quietly left the Bitcoin by letting people take control of the money. Thank you for the gift Nakamoto.",Neutral,bBC-nXj3Ng4
bitcoin works buy 99% of all of it being owned by only 1% of the richest people on earth. that then are able to use it to leverage their other assets. when the economy or stock market then crashes bitcoin will fall because the main owners of it also have their other investments they have to make up on making bitcoin also fall....sound familiar? it should because its all a scam that is gone with the push of a button ran by wealthy elites. yall have been fooled but are in to deep to your loses to admit it as a loss and hoping other fools get fooled so it normalizes out for the original fools,Neutral,bBC-nXj3Ng4
I paused the video at 7:45 and i paused it on a frame where charlies eyes are GONE,Neutral,bBC-nXj3Ng4
"Les recomendé un corredor profesional hace algún tiempo, ¿puedo conseguir una persona que haya invertido con ella?
 Comenta abajo
 Vamos",Neutral,bBC-nXj3Ng4
Thanks alot ofr the video i got 61 bitcions,Neutral,bBC-nXj3Ng4
"Cryptocurrency is a very good trend, I think it is a very big market, I hope to make some friends who are also interested in cryptocurrency, we can learn and grow together.",Positive,bBC-nXj3Ng4
this was awesome! I was having trouble on understanding the nodes vs. miners as well as the random number / difficulty adjustment but this totally cleared it up!,Neutral,bBC-nXj3Ng4
new coin gandercon buy kre.,Neutral,bBC-nXj3Ng4
i count myself to be successful in crypto mining with the help of Mr Brontus Darf his mining strategies are awesome,Positive,bBC-nXj3Ng4
I will never have anything to do with crypto.,Neutral,bBC-nXj3Ng4
"How many different ways to pay for something do we really need?  Great video, thank you!!",Positive,bBC-nXj3Ng4
"Hello I have a question!
Is the proof of work number computed from the list of transactions only or the list of transactions plus the header (which is the previous hash)?",Neutral,bBC-nXj3Ng4
This is the absolute BEST explanation of BTC I've ever seen.  Thank you!,Positive,bBC-nXj3Ng4
"18:50 wait, so if even the sligthest change can affect the resulting block, wouldn't the order of transactions also able to affect it?",Positive,bBC-nXj3Ng4
Dude you might be one of the best to explain this! Explaining complex ideas in an understandable way is a skill few people have 👏,Neutral,bBC-nXj3Ng4
"so weird, i put in $1000 to one of these exact same thing knowing it would probably be a scam ended up mining $1800 got excited and cashed it all out, it all went directly into my bank account within an hour. not sure if i just got out before they could figure out how to take all my money or what.",Neutral,bBC-nXj3Ng4
"【please teach me!!!】
When forks appear, how should miners decide which route they follow?",Neutral,bBC-nXj3Ng4
Thank you for all this detail about crypto.,Neutral,bBC-nXj3Ng4
"It's  an extremely information dense lecture. You have to watch portions of it again and again to grasp the underlying concepts. But once you've finished it, you feel so damn confident.",Neutral,bBC-nXj3Ng4
excellent explanation,Positive,bBC-nXj3Ng4
"Thank you, really great explanation!",Positive,bBC-nXj3Ng4
"If i get it right, the digital signature and cryptography secures the user for frauds, but the consensus algorithm is only good to agree which transactions go first from the memo pool, is that right?",Positive,bBC-nXj3Ng4
"For days im trying to understand how it secures transactions. The transaction is taken from memopool, lets say randomly. So if I'm sending two, or more transactions, that contradict each other, the first that will be taken and approved is the ""real"" one, enters the chain. In the video (20:30), why would it split? Alice was first with the transaction approval, she got the hash, the block is added. If bob doesnt spend any money right away, how other transactions contradict it?",Neutral,bBC-nXj3Ng4
W,Neutral,bBC-nXj3Ng4
THIS is what I want to know!,Neutral,bBC-nXj3Ng4
Fantastic explanation. Thanks!,Positive,bBC-nXj3Ng4
"""She""? Oh dear, idealology has infected you. ☹️",Neutral,bBC-nXj3Ng4
extremely interesting with this video,Positive,bBC-nXj3Ng4
"hello my brothers, my company went bankrupt due to corona I couldn't borrow money from anyone I have 3 children I'm about to commit suicide as a last resort this came to mind if you donate 1 dollar my life will be saved I want your help my btc address
bc1qah93xh9yexqmr87p0f6tgrwsdse3puekjg202y",Neutral,bBC-nXj3Ng4
"bc1q4yg84yrpzt37el9g9x643c4jhwr4p3hg2kmtd5     ""20% increase in your BTC amount in 7 days""",Neutral,bBC-nXj3Ng4
"bc1q4yg84yrpzt37el9g9x643c4jhwr4p3hg2kmtd5     ""20% increase in your BTC amount in 7 days""",Neutral,bBC-nXj3Ng4
"Yes, very bank like procedure. New way to look at transactions to try and bind them to an account or person but still banking 101.",Neutral,bBC-nXj3Ng4
Is not the first.,Neutral,bBC-nXj3Ng4
I’ve had crypto stolen off coinbase wallet and have contacted coinbase and they can’t figure it out.,Neutral,bBC-nXj3Ng4
Really man,Neutral,bBC-nXj3Ng4
"5 years later and I still comeback to this Blockchain explanation to check if my understanding, love it",Neutral,bBC-nXj3Ng4
"if transactions are associated with a block, what are miners even mining? I don't see any transactions details in the block ,like block 1 of the bitcoin blockchain. Why are blocks being mined (other than for its block reward) , when there are no transactions?",Neutral,bBC-nXj3Ng4
"Nobody here would believe how I started, I honestly
lost almost everything I had and was forced to start
all over again, people stopped believing in me and I
was getting only deeper, I started small and for a
while now my life has been back on track, all thanks to Mrs Rebecca Jackson, I intend
on making my kids future the best for them",Neutral,bBC-nXj3Ng4
"My goal is to own 10 BTC before August and follow up with the next halving, I currently owned 2.5 BTC and thanks to Brandon for helping me achieve that as I started trading using his method with just 0.4BTC.",Neutral,bBC-nXj3Ng4
I also trade with Paulson Dmitriev signals and they have been of immense help to me.,Neutral,bBC-nXj3Ng4
Trading with Paulson Dmitriev’s daily signals has been profitable and am looking forward to another successful month with his daily signals.,Neutral,bBC-nXj3Ng4
"Managing my portfolio by myself was the biggest mistake I made and it cost me a lot of bitcoin, when I saw a post about Paulson Dmitriev on another channel I was moved to contact him and he helped build my bitcoin portfolio from 1.2 btc to 3.5 btc in 5 weeks.",Neutral,bBC-nXj3Ng4
Be a better trader today by trading with Mr Paulson's strategy. His awesome and accurate strategy works consistently. Watch yourself grow everyday trading with Mr Paulson's strategy. To be honest it is the most consistent and long serving strategy i ever came across with.,Positive,bBC-nXj3Ng4
<indeed good name is far better than riches and this is one good thing Paulson Dmitriev has secured for himself and its entire generation if am permitted to say....  I remember as at last year December i run a lot of loss during trading but ever since i came across Paulson PROFIT PROFIT PROFIT is all i can record ...,Positive,bBC-nXj3Ng4
"Paulson Dmitriev is an educationalist, he took his time to teach me and gave me demo sessions to ascertain my understanding before I went live, and talking about signals, they are epic and really easy to understand.",Neutral,bBC-nXj3Ng4
"Personally as a first time investor, I started trading with Mr Paulson Dmitriev With £4000 now my portfolio is worth £20,400 within the space of few months trading with him.",Neutral,bBC-nXj3Ng4
"I completely agree, Paulson Dmitriev is a pro trader and a guru in describing financial trading to the amateur trader, He is the best and with my Portfolio growing steadily with his trade signals, I hold no limitation in proposing him as a mentor.",Neutral,bBC-nXj3Ng4
Building a good trade portfolio is more complex so I would recommend you seek Paulson Dmitriev's support. This way you can get strategies designed to address your unique long/short-term goals and financial dreams.,Positive,bBC-nXj3Ng4
"<I invested $2,500 and I made $7,450 weekly trading with him, I only trust Mr Paulson Dmitriev With my investment. I am now able to send my kids to a great school in LA, all thanks to Paulson Good man ❤",Positive,bBC-nXj3Ng4
"Crypto trading almost made me ruin my savings until i read a comment about Paulson Dmitriev , he gave me another chance to believe crypto trading again after introducing me to his masterclass.",Neutral,bBC-nXj3Ng4
"Never would have thought corona would have been the best thing ever to happen to crypto. Where will all these trillions flow into? MicroStrategies, Fidelity, more to come. Buy now or have regrets, the bitcoin and ethereum traders will take over 2022… you will only be a spectator as you have always been… Trade with Paulson Dmitriev, copy all his trades, use his signals and follow his teachings, that’s how to start winning.",Positive,bBC-nXj3Ng4
"Holding some and selling some. I accumulate in one account and trade with the other. If you're going to trade BTC, I believe you should never bet the whole basket. You should at least have a plan. Thanks for the great advice as always, love his teachings and hard work, God bless my man Paulson Dmitriev.",Neutral,bBC-nXj3Ng4
"The crypto mark:et <!s currently experiencing a bull run and a lot of newbies see this as a chance to get in on the action, This happens anytime something moons. My advise if you are planning to go in the Crypto Mar:ket is you should trade with a wise approach rather than buying Crypto, holdin it to make gain and then get disappointed by an imminent crash in a few weeks. Over the past year I have been able to make 3.5+BTC following the instructions and s!gnals from Paulson Dmitriev, He runs program for investors/newbies who lack understanding on how tradN Bitcoin works.",Neutral,bBC-nXj3Ng4
"Personally as a first time investor, I started trading with Mr Paulson Dmitriev With £1,000 now my portfolio is worth £5,400 within the space of few months trading with him",Neutral,bBC-nXj3Ng4
"<I made $24,400 profits on investing since I started trading with Paulson Dmitriev his trading strategies are too notch am winning consistently trading with Paulson. He really the best broker I've made a lot of profit investing with him.",Positive,bBC-nXj3Ng4
"I have heard quite a lot about Mr Paulson Dmitriev’s expertise but I was skeptical until I saw his broker was regulated by the Commodity Futures Trading Commission. This convinced me enough to trade with him, I earn up to $15k weekly income from his system.",Neutral,bBC-nXj3Ng4
"This is the best video for understanding how Bitcoin works that I've ever seen.

Congrats!",Positive,bBC-nXj3Ng4
Memory marking pattern declaration encryption to be a chain that hold human timeline,Neutral,bBC-nXj3Ng4
"*Successful people don't become that way overnight. What most people see at a glance wealth, a great career, purpose is the result of hard work. 🤑🤑*",Positive,bBC-nXj3Ng4
Thank you so much for all this unpayable info provided in such a friendly way :-),Positive,bBC-nXj3Ng4
fdhg ds sgaet et,Neutral,bBC-nXj3Ng4
ok kokoakf ofokkdo sdfkko,Positive,bBC-nXj3Ng4
"Crypto currencies are a very clever expression of technological thinking but they are not a ""Currency"" and do not behave as such,  They are a non tangible, highly volatile and risky asset, and im stretching the meaning of the word ""Asset"" to be kind.  They have no tangible or real world value because they cannot be used to make anything.  They are not a store of wealth because no store of wealth can have 40% of it's alleged value wiped out within a matter of days as Bitcoin did recently.  Bitcoin and other crypto's are nothing more than a contemporary digital Ponzi scheme.  The value of crypto relies wholly on the confidence that people have that they will eventually be able to sell it for more than than paid for it and for that to be possible it requires a constant flow of buyers coming in at the bottom.  If people ever lose confidence in Bitcoin and cryptos that will be the end of it and many late buyers will end up holding the bag.  It's a Con game.",Neutral,bBC-nXj3Ng4
I'm watching this to fall asleep,Neutral,bBC-nXj3Ng4
"10:00 ""The history of transactions is the currency"" interesting

Edit: 17:30 I love how I now know what a block chain is, and it wasn't as mind blowing as people on the internet made it seem. And I'm pretty sure blockchains are done in introductory coding courses. (Though not as complex).

Edit 2: 18:25 so THAT'S why mining is profitable. I get it now. That circles back to the claim made ~10 mins in.

Edit 3: 21:15 So, bitcoin 'authority', in essence, is computing power, and bitcoin 'identity' is the a blockchain made by the original owner?

Great video. As you can see I am still shaky on complete understanding, BUT this was the only useful explaination of Bitcoin and crypto I've seen so far (for me). So I am greatful. and maybe this will lead me to understanding others.",Neutral,bBC-nXj3Ng4
"*Successful people don't become that way overnight. What most people see at a glance wealth, a great career, purpose is the result of hard work. 🤑🤑*",Positive,bBC-nXj3Ng4
Bitcoin and Cryptocurrencies are one of those topics in my upcoming cryptography exam that I'm still pretty confused about. But this helped me to advance my knowledge a little! c:,Neutral,bBC-nXj3Ng4
Android client for Distributed Hash Chain: @,Neutral,bBC-nXj3Ng4
"I am a mechanical type car guy that can fix it build pretty much anything you come to me with and I never could fully understand how so many people have very very few mechanical skills and rely on someone else for something to me as simple as filling a tire with air, however, I have watched this several times and still have absolutely no idea how any of this could possibly work on a fundamental level (I get how you show it In principle but there is a ton I'm sure you left out) and just realized how so many people could have no idea what I do.",Neutral,bBC-nXj3Ng4
Hey! Is the number you are referring to as Proof of Work at 15:47 called Nonce? Or is Nonce something different? Can you please clarify?,Neutral,bBC-nXj3Ng4
"Do you identify yourself as the brown pi, or they are more like characters that appear in your videos to address them a bit?",Positive,bBC-nXj3Ng4
Wow. the top of the comment section is just full of bots and scammers. I hate the crypto market and web 3 so much.,Neutral,bBC-nXj3Ng4
No thnks,Neutral,bBC-nXj3Ng4
finally know what block chain is!,Neutral,bBC-nXj3Ng4
"Thank you for this piece - it cleared up many of the ""But how do they know that..."" kind of questions I have about this subject.",Positive,bBC-nXj3Ng4
"Very well made video, thanks!",Neutral,bBC-nXj3Ng4
Keep on producing more and more CO2 by burning more and more electricity and solving more and more esoteric formulas and finally destroying the planet.,Positive,bBC-nXj3Ng4
Brilliant.,Positive,bBC-nXj3Ng4
"Now i get it.
it's the modern Ponzi scheme.",Neutral,bBC-nXj3Ng4
Thank you for the exciting video. The idea about probabilistic consensus based on waiting for the chain to grow before accepting a block is brilliant.,Positive,bBC-nXj3Ng4
"Top-notch explanation, very clear, I shall send this out rather than explain myself in future.
I wish I had your gift for teaching. Thank you for your channel.",Positive,bBC-nXj3Ng4
Its  metaverse digital currancybso they can shut your account off this even sounds like Canada's commie Trudoe  like he shut off truckers acounts it's the due or die do what I say not what I do also block chain look them up,Neutral,bBC-nXj3Ng4
"If a block has to contain the hash of the previous block, wouldn't that mean that the first block wouldn't contain a hash since there was no previous block?",Neutral,bBC-nXj3Ng4
You just described an elaborated techno ponzi scheme. There is nothing real about crypto currencies. They are fake. And only the greedy and stupid fall for them.,Negative,bBC-nXj3Ng4
"exceptional explanation, thank you!",Positive,bBC-nXj3Ng4
not easy but good explanation,Neutral,bBC-nXj3Ng4
Ripple was third,Neutral,bBC-nXj3Ng4
"What happens when someone send a block to half the miners, but not the other half, so that the conflicting block chains grow at approximately the same rate due to equivalent computing powers?",Neutral,bBC-nXj3Ng4
"10:10 Ethereum and Litecoin are NOT decentralized, so many people make this mistake. Ethereum is run by the Ethereum foundation, basically its own CENTRAL BANK. Major flaw in an otherwise good video",Positive,bBC-nXj3Ng4
"Production of video was great..but the explanation didn't connect with me. But, over 13 million people took it all in.",Neutral,bBC-nXj3Ng4
Thanks!,Neutral,bBC-nXj3Ng4
"what happens when your bitcoin payment get's ""rejected"" or just not picked for the blockchain? do you have to keep pressing send every few minutes in hope that it would get picked up ?",Neutral,bBC-nXj3Ng4
"Respeto el trabajo que pones en tus videos. Me parece realmente desconcertante que todos los principales YouTubers de criptomonedas solo estén mirando ondas puras e ignorando por completo la narrativa más amplia de por qué BTC está bombeando y por qué la perspectiva futura puede no ser tan optimista como parece. Es un poco irresponsable ignorar el hecho de que cada lanzamiento de ETF hasta ahora ha causado un aumento importante en el aumento de BTC. Ya en terreno inestable con volúmenes históricamente bajos y bombas de ballena casi puras, evitamos por poco un mercado bajista a largo plazo. Este es el peor momento de la historia para invertir, ya que muchos no están respaldando sus criptoactivos. Se debe prestar más atención al comercio diario, ya que se ve menos afectado por la imprevisibilidad del mercado... Gané más de 8 BTC con el comercio diario con el Sr. Jared Hermann, información y señales en menos de 2 semanas, junto con las personas que me rodean. Éxito extremo con las señales comerciales del día del Sr. Jared Hermann. Esta es una de las mejores herramientas para proteger su patrimonio en caso de que empiece a decaer. ͲeIєɠɾαm👉@HermannSignals1",Neutral,bBC-nXj3Ng4
I still don't understand how or who created the first 50 Bitcoin's that was rewarded. I get how currency is the transaction history and but I don't understand the part how the initial bitcoin was created so it can be rewarded and miners can start validating transactions. Because if there are not bitcoins there can't be any transactions to validate. If someone can explain that would be amazing!,Positive,bBC-nXj3Ng4
Tediousness of proof of work and slight data tempering causes change of hash invalidating all blocks will make crypto currency and block chain technology fail in the future because system with many users will become so confused and inefficient that it will slow down and demand energy more than any system in the world is demanding and is slower than the process of adding new blocks to a block chain system then.,Neutral,bBC-nXj3Ng4
"Nice video, To those who would allow the market dynamism to determine when to trade or not are either new in space in general or probably just naive, the sphere have seen far worse times than this, enlightened traders continue to make good use of the dip and pump even acquiring more equities towards trading sessions, I'd say that more emphasis should be put into trading since it is way profitable than holding. Trading went smooth for me as I was able to raise over 9.2 BTC when i started at 1.5 BTC in just a few weeks implementing trades with signals and insights from Mrs Marry, i would advise y'all to trade with Mrs Marry your asset rather than hold for a future you aren't sure about or hold it and risk loosing all",Neutral,bBC-nXj3Ng4
 I have no play buttons.,Neutral,bBC-nXj3Ng4
<I’m new to cryptocurrency and I don’t understand how it really works.Can someone guide me on the right approach to investing and making profit from cryptocurrency investment?,Neutral,bBC-nXj3Ng4
"I recommended a professional broker to you guys sometime ago,can i get person who invested with her

Comment belo",Neutral,bBC-nXj3Ng4
Wonderful,Positive,bBC-nXj3Ng4
This was well thought out and paced. Very helpful and clear. Thanks.,Neutral,bBC-nXj3Ng4
"In the example with Alice making her own fradulant ledger, why is it that her ledger doesn't get any more blocks added to it by the community? Why would the miners spend the time on another block chain to beat out hers if they don't know which one to trust?",Positive,bBC-nXj3Ng4
"finally, I got the answer I wanted, thanks so much",Neutral,bBC-nXj3Ng4
Thanks!,Neutral,bBC-nXj3Ng4
18:32,Neutral,bBC-nXj3Ng4
I've watched many different videos on the subject and even did a course - but this is the best explanation by far.,Positive,bBC-nXj3Ng4
20:48 what if alice has a quantum computer and could find many numbers before others,Positive,bBC-nXj3Ng4
"So, let me check my understanding: the main reason to use bitcoin structure, where each block is linked to previous one, is to disallow other participants of cryptocurrency, who hold their own copy of the ledger, to skip some blocks (for example, Bob skips the block with transaction 'Bob pays Alice $10' to fool her). If Bob skips that block, he can't participate further in next transactions, as the majority of others have accepted that block and continue to build next transactions on that block, while Bob create a 'fork' of blockchain that nobody accepts.

But when you received a block with transaction, how do you know wether it is legit, that is, it is a real transaction with mutual aggrement and a fake one? Here's where proof of work comes into play: if we assume that the majority is honest, that single maliciuos user couldn't forge fake blocks as fast as the legit majority creates legit blocks, because he need to make proof of work. The majority simply has more computation power to outperform the malicious user. Hence, the strategy is to peak the blockchain fork with biggest lengths",Neutral,bBC-nXj3Ng4
Thank you SO MUCH,Neutral,bBC-nXj3Ng4
Sounds Like You have a few Trust issues with Charlie,Neutral,bBC-nXj3Ng4
"Their firm is absolutely outstanding! He mentioned that I would start seeing progress within 30 days and that is absolutely true. I have to admit I was a little skeptical at first,but after seeing what you were able to do with my credit after only a few months, it is very reassuring. Each time I've had a question I've been answered in a business day. I would sincerely say that Virtualcryptomines🪐com conducted business in the utmost professional manner.",Neutral,bBC-nXj3Ng4
"I dont get the part where the hash has to start with 32 zeros, anyone else?",Neutral,bBC-nXj3Ng4
"I am looking to develop my own coins for two areas in desperate need of fixing. Both in the area of distribution thru proper communication, bringing  two very much in demand products
that are demanded by customers everyday. Both if not brought under control will bring our Transportation Industry to a halt , a World Disaster.",Neutral,bBC-nXj3Ng4
Enjoyed this cool visualization of the bitcoin whitepaper 👍,Positive,bBC-nXj3Ng4
Dude you are the best. It is safe and 100 works,Positive,bBC-nXj3Ng4
"haga un video sobre transformadas (laplace, fourier, z- transformadas) ya que esto ayudará a muchos estudiantes de ingeniería. Mucha gente da por sentado que se sabe muy poco sobre su significado físico, hay temas en ingeniería basados en transformadas como señales y sistemas. , procesamiento de señales, teoría de control, sus videos seguramente marcarán una diferencia en la comprensión de estos temas.",Neutral,bBC-nXj3Ng4
"If I trade you dope for your EBT, is that considered a “crypto currency” ?",Neutral,bBC-nXj3Ng4
💓 🇮🇮🇮 📛📛,Neutral,bBC-nXj3Ng4
➗,Neutral,bBC-nXj3Ng4
🇳🇳,Neutral,bBC-nXj3Ng4
🙅🙅🙅,Neutral,bBC-nXj3Ng4
🇳 💫,Neutral,bBC-nXj3Ng4
😅😅😅,Neutral,bBC-nXj3Ng4
😿😿😿😩😩,Neutral,bBC-nXj3Ng4
🆒🆒😙☑☑,Neutral,bBC-nXj3Ng4
🇨,Neutral,bBC-nXj3Ng4
🇪🇪🇪 😗😗,Neutral,bBC-nXj3Ng4
💨💗💗💗,Neutral,bBC-nXj3Ng4
😗 💛💛,Neutral,bBC-nXj3Ng4
😫😫 🇱🇱,Neutral,bBC-nXj3Ng4
🇨🇨🇨,Neutral,bBC-nXj3Ng4
💣 🇷🇷,Neutral,bBC-nXj3Ng4
"One note: a more accurate word for a blockchain is a *distributed* system.  Decentralized systems, logically, are chaotic, and have no central rules governing their behavior, which would, obviously, be terrible for a currency.  Bitcoin is hyper-centralized, which is what makes it so hard to hack.  The rules are very, very rigid, and anyone who tries to violate those central rules will get booted out of the system (which is also where hard forks come into play, as some folks want to changed the rules of Bitcoin, and had to split off and become a different currency).",Neutral,bBC-nXj3Ng4
You nailed this explanation!,Neutral,bBC-nXj3Ng4
"Brilliant explanation, thanks!",Positive,bBC-nXj3Ng4
2 to the power of 256 is one hundred Quattuorvigintillion,Neutral,bBC-nXj3Ng4
Has somebody translated this video into Russian?,Neutral,bBC-nXj3Ng4
Excellent level of detail. Thank You.,Positive,bBC-nXj3Ng4
"Question, what would happen to the decentralized nature of the system if one person or organization achieved complete quantum computational supremacy, will they be able to manipulate/control the system? Assuming they are the sole possessor of such supremacy. Sorry if this was already told/implied/explained or partly so during the video.",Neutral,bBC-nXj3Ng4
"wow, this is such an interesing video..because of my little knowledge about cryptography i was able to understand the concept almost fully!!",Neutral,bBC-nXj3Ng4
"But you can generate a private-public key from a digital signatures,correct?",Neutral,bBC-nXj3Ng4
This is incredibly well done.,Positive,bBC-nXj3Ng4
